City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Rio Grande,BR,-32.03,-52.10,60.91,74,87,7.52,overcast clouds
258,Bambous Virieux,MU,-20.34,57.76,68.25,88,40,6.91,scattered clouds
259,Belle Fourche,US,44.67,-103.85,89.35,15,48,9.62,scattered clouds
260,Geraldton,AU,-28.77,114.60,63.01,63,40,9.22,scattered clouds
261,Waipawa,NZ,-41.41,175.52,44.22,91,100,13.11,light rain
262,Caxito,AO,-8.58,13.66,74.62,82,100,5.35,light rain
263,Tuy Hoa,VN,13.08,109.30,76.51,89,100,5.55,overcast clouds
264,Nyahururu,KE,0.04,36.37,54.34,72,98,4.23,overcast clouds
265,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,46.99,61,20,13.42,few clouds
266,Atar,MR,20.52,-13.05,92.14,25,16,12.55,few clouds
267,Eyl,SO,7.98,49.82,78.04,79,96,16.91,overcast clouds
268,Eisiskes,LT,54.17,25.00,43.72,83,33,5.39,scattered clouds
269,Shingu,JP,33.73,135.98,68.43,88,2,4.76,clear sky
270,San Cristobal,VE,7.77,-72.22,82.58,66,78,2.91,broken clouds
271,Progreso,MX,21.28,-89.67,85.1,68,35,13.22,scattered clouds
272,Semnan,IR,35.57,53.40,74.61,16,0,4.14,clear sky
273,Longyearbyen,SJ,78.22,15.64,40.84,93,75,4.61,broken clouds
274,Vanimo,PG,-2.67,141.30,79.79,81,93,4.81,overcast clouds
275,Mahon,ES,39.89,4.27,64.96,77,40,5.75,scattered clouds
276,Polunochnoye,RU,60.87,60.42,20.41,94,25,1.54,scattered clouds
277,Sawtell,AU,-30.38,153.10,66.22,59,40,23.02,scattered clouds
278,Tairua,NZ,-37.02,175.85,61.39,97,100,8.34,light rain
279,Piranhas,BR,-16.43,-51.82,83.43,46,75,3.38,broken clouds
280,Rapid Valley,US,44.06,-103.15,92.44,21,0,11.5,clear sky
281,Sistranda,NO,63.73,8.83,49.96,79,95,6.51,overcast clouds
282,Aklavik,CA,68.22,-135.01,33.71,99,84,11.36,broken clouds
283,Salalah,OM,17.02,54.09,78.89,89,75,4.61,broken clouds
284,Rawah,IQ,34.48,41.91,78.87,30,0,9.35,clear sky
285,Baherden,TM,38.44,57.43,74.01,28,0,3.06,clear sky
286,Naryan-Mar,RU,67.67,53.09,27.55,79,12,8.68,few clouds
287,Sibu,MY,2.30,111.82,77.31,94,40,0.0,scattered clouds
288,Clyde River,CA,70.47,-68.59,28.63,93,75,4.61,fog
289,Richards Bay,ZA,-28.78,32.04,70.09,87,23,8.41,few clouds
290,Bathsheba,BB,13.22,-59.52,74.01,94,75,17.27,thunderstorm with light rain
291,Price,US,39.60,-110.81,67.26,55,40,5.75,scattered clouds
